,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
2321,ATLETICO MADRID,VILLARREAL,0-0,0-0,2.4,6.4,6.9,54,46,7.0,1.0,13.0,6.0,9.0,16.0,87.0,8.0,16.0,11.0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,1.0,17.0,84.0,13.0,33.0,7.0,2.0,0.0,0.0,0,0,0,0,2020
2322,REAL SOCIEDAD,GETAFE,3-0,1-0,4.7,7.7,4.4,53,47,2.0,6.0,11.0,3.0,5.0,30.0,69.0,25.0,14.0,21.0,3.0,0.0,0.0,2.0,1.0,5.0,2.0,4.0,26.0,64.0,22.0,18.0,13.0,3.0,0.0,0.0,3,0,0,3,2020
2323,ELCHE,HUESCA,0-0,0-0,2.2,6.3,6.4,51,49,2.0,0.0,2.0,0.0,0.0,19.0,83.0,8.0,21.0,8.0,0.0,0.0,0.0,10.0,4.0,18.0,4.0,5.0,14.0,86.0,8.0,7.0,26.0,2.0,0.0,0.0,0,0,0,0,2020
2324,VALENCIA,REAL BETIS,0-2,0-1,4.5,5.0,7.4,47,53,1.0,2.0,5.0,2.0,4.0,19.0,81.0,17.0,16.0,11.0,2.0,0.0,0.0,6.0,8.0,17.0,3.0,7.0,26.0,84.0,11.0,10.0,14.0,2.0,0.0,0.0,0,2,2,0,2020
2325,OSASUNA,CELTA,2-0,1-0,4.1,6.9,5.5,39,61,8.0,5.0,13.0,1.0,6.0,26.0,69.0,20.0,12.0,19.0,3.0,0.0,0.0,5.0,3.0,9.0,1.0,5.0,25.0,79.0,21.0,20.0,10.0,3.0,0.0,0.0,2,0,0,2,2020
2326,ALAVÉS,ATHLETIC,1-0,0-0,2.8,6.3,5.3,41,59,4.0,3.0,8.0,1.0,0.0,20.0,66.0,23.0,31.0,20.0,1.0,1.0,0.0,7.0,1.0,8.0,1.0,6.0,29.0,74.0,27.0,13.0,17.0,3.0,0.0,0.0,1,0,0,1,2020
2327,LEVANTE,REAL MADRID,0-2,0-1,5.2,5.8,7.3,45,55,6.0,4.0,11.0,1.0,4.0,15.0,81.0,7.0,19.0,14.0,2.0,0.0,0.0,6.0,3.0,13.0,4.0,6.0,25.0,84.0,8.0,14.0,8.0,1.0,0.0,0.0,0,2,2,0,2020
2328,CÁDIZ CF,GRANADA,1-1,0-1,5.5,6.6,6.3,41,59,6.0,4.0,14.0,4.0,2.0,19.0,73.0,20.0,18.0,16.0,2.0,0.0,0.0,4.0,5.0,13.0,4.0,5.0,26.0,79.0,13.0,9.0,16.0,2.0,0.0,0.0,1,1,1,1,2020
2329,BARCELONA,SEVILLA FC,1-1,1-1,5.0,6.6,6.8,54,46,5.0,5.0,12.0,2.0,6.0,21.0,89.0,7.0,2.0,11.0,1.0,0.0,0.0,10.0,1.0,13.0,2.0,5.0,11.0,87.0,11.0,18.0,18.0,1.0,0.0,0.0,1,1,1,1,2020
2330,GRANADA,SEVILLA FC,1-0,0-0,3.8,6.3,5.6,51,49,2.0,3.0,13.0,8.0,5.0,25.0,80.0,14.0,4.0,16.0,4.0,0.0,0.0,3.0,3.0,8.0,2.0,1.0,18.0,79.0,17.0,19.0,11.0,3.0,1.0,0.0,1,0,0,1,2020
